Nombre,Categoria,Calorias,Proteinas,Carbohidratos
Soda (1 can Coke),Beverage,140,0.0,39.0
Pretzels (1 oz),Grain/Processed,110,3.0,23.0
Cheddar Cheese (1 oz),Dairy,115,7.0,1.0
Caesar Salad (with chicken),Meal/Protein,470,30.0,15.0
Orange Juice (1 cup),Beverage,112,1.7,25.8
Bacon (2 slices cooked),Protein/Meat,86,6.0,0.2
Waffles (2 homemade),Grain,220,6.0,28.0
Pear,Fruit,101,0.6,27.0
Chicken Breast (4oz roasted),Protein/Meat,185,35.0,0.0
Mixed Nuts (1/4 cup),Nut,200,6.0,8.0
Tilapia (4oz baked),Protein/Fish,110,22.0,0.0
Asparagus (1 cup steamed),Vegetable,40,4.3,7.4
Sweet Potato (1 medium baked),Vegetable,103,2.3,23.6
Popcorn (3 cups air-popped),Grain,93,3.0,18.6
Raisins (1/4 cup),Fruit,130,1.3,34.0
Macaroni & Cheese (1 cup),Meal/Pasta,350,10.0,40.0
Tomato Soup (1 can),Meal/Vegetable,170,4.0,25.0
Grilled Cheese Sandwich,Meal/Processed,390,15.0,32.0
Beef Tacos (2 hard shell),Meal/Meat,380,18.0,28.0
Refried Beans (1/2 cup),Legume,115,7.0,19.0
Guacamole (1/4 cup),Vegetable/Condiment,90,1.0,4.0
Watermelon (1 cup diced),Fruit,46,0.9,11.5
English Muffin (whole wheat),Grain,134,6.0,26.0
Peanut Butter & Jelly Sandwich,Meal/Processed,390,12.0,50.0
Clam Chowder (1 cup),Meal/Seafood,200,10.0,18.0
Iced Tea (Sweetened 16oz),Beverage,180,0.0,46.0
Lasagna (1 serving meat),Meal/Pasta,350,20.0,30.0
Garlic Bread (1 slice),Grain,150,4.0,18.0
Chocolate Milk (1 cup),Beverage/Dairy,200,8.0,26.0
White Bread (1 slice),Grain,70,2.0,13.0
Jelly (1 tbsp grape),Condiment,50,0.0,13.0
Veggie Burger (1 patty),Protein/Vegetarian,120,11.0,10.0
Bun (hamburger),Grain,140,4.0,26.0
Ketchup (1 tbsp),Condiment,20,0.2,5.0
Muffin (Blueberry 1 large),Grain/Dessert,380,5.0,55.0
Coffee (with cream/sugar),Beverage,50,0.5,5.0
Potato Chips (1 oz),Snack/Processed,160,2.0,15.0
Tzatziki Sauce (2 tbsp),Condiment/Dairy,30,1.5,2.0
Scallops (3oz seared),Protein/Seafood,95,17.0,5.0
Risotto (Mushroom 1 cup),Meal/Grain,250,7.0,35.0
Caprese Salad,Meal/Vegetable,240,10.0,8.0
Balsamic Vinaigrette (2 tbsp),Condiment,90,0.0,3.0
Cherries (1 cup),Fruit,77,1.6,19.0
Turkey Bacon (2 slices),Protein/Meat,70,6.0,1.0
Grits (1 cup cooked),Grain,150,3.0,32.0
Butter (1 tbsp),Condiment/Dairy,100,0.1,0.0
Meatball Sub (6 inch),Meal/Processed,580,28.0,55.0
Kiwifruit (1 medium),Fruit,46,0.9,11.1
Beef Jerky (1 oz),Snack/Processed,116,9.4,3.1
Figs (2 medium),Fruit,74,0.6,19.2
Lobster (3oz steamed),Protein/Seafood,76,16.0,0.0
Melted Butter (for lobster),Condiment,200,0.2,0.0
Corn on the Cob (1 large),Vegetable,125,5.0,29.0
Vegetable Soup (1 can),Meal/Vegetable,140,4.0,22.0
Saltine Crackers (5 crackers),Grain/Processed,60,1.0,10.0
Mango (1 cup slices),Fruit,99,1.4,24.7
Cheesecake (1 slice),Dessert,320,5.0,28.0
Pad Thai (Chicken 1.5 cups),Meal/Pasta,550,25.0,60.0
Spring Roll (Veg 2 rolls),Snack/Processed,180,4.0,25.0
Coconut Water (1 cup),Beverage,46,1.7,8.9
Kimchi (1/2 cup),Vegetable,22,1.7,4.0
Sashimi (Salmon 3 pcs),Protein/Fish,120,18.0,0.0
Wasabi (1 tsp),Condiment,10,0.1,2.2
Seaweed Salad (1/2 cup),Vegetable,60,2.0,8.0
French Onion Soup (1 cup),Meal,150,6.0,15.0
Croutons (1/4 cup),Grain,50,1.5,7.0
Shepherd's Pie (1 serving),Meal/Meat,400,20.0,35.0
Green Peas (1/2 cup),Legume,62,4.1,11.1
Apple Pie (1 slice),Dessert,410,3.0,58.0
Gin & Tonic (1 drink),Beverage,170,0.0,13.0
Red Wine (5 oz glass),Beverage,125,0.1,3.8
Halibut (4oz baked),Protein/Fish,125,24.0,0.0
Quinoa Salad (1 cup),Meal/Vegetarian,260,9.0,32.0
Lemonade (1 cup),Beverage,99,0.1,26.0
Pistachios (1 oz shelled),Nut,159,5.7,7.7
Oat Milk (1 cup),Beverage/Dairy-Alt,120,3.0,16.0
Biscuits and Gravy (1 serving),Meal/Processed,480,10.0,45.0
Avocado (1/2 fruit),Fruit,160,2.0,8.5
Corn Flakes (1 cup),Grain,100,2.0,24.0
T-Bone Steak (6oz),Protein/Meat,460,38.0,0.0
Creamed Spinach (1/2 cup),Vegetable,190,5.0,8.0
Pecans (1 oz),Nut,196,2.6,3.9
Fruit Cocktail (canned 1 cup),Fruit,110,1.0,28.0
Ramen (Instant 1 pack),Meal/Processed,380,9.0,53.0
Mocha Latte (16oz),Beverage,360,12.0,48.0
Cucumber Slices (1 cup),Vegetable,16,0.7,3.6
Feta Cheese (1 oz),Dairy,75,4.0,1.2
Olives (Kalamata 5 large),Fruit,35,0.2,1.0
Chicken Alfredo (1.5 cups),Meal/Pasta,680,35.0,45.0
Breadstick (1 large),Grain,160,4.0,28.0
Cobb Salad,Meal/Protein,510,30.0,12.0
Blue Cheese Dressing (2 tbsp),Condiment,150,1.0,2.0
Mandarin Orange (1 medium),Fruit,37,0.6,9.3
Cashews (1 oz roasted),Nut,163,4.3,9.2
Eggo Waffle (2 waffles),Grain/Processed,180,4.0,30.0
Pulled Pork Sandwich,Meal/Meat,480,25.0,48.0
Macadamia Nuts (1 oz),Nut,204,2.2,3.9
Crab Cakes (2 medium),Meal/Seafood,340,20.0,18.0
Tartar Sauce (2 tbsp),Condiment,60,0.2,2.0
Lemon Bar (1 square),Dessert,150,1.5,22.0
Almond Milk (Unsweetened 1 cup),Beverage/Dairy-Alt,30,1.0,1.0
Rice Krispies (1.5 cups),Grain,160,3.0,37.0
Sugar (1 tsp for cereal),Condiment,16,0.0,4.0
Tuna (Canned 3oz in water),Protein/Fish,90,20.0,0.0
Mayonnaise (1 tbsp),Condiment,90,0.1,0.1
Pickle (1 spear dill),Vegetable,5,0.2,1.0
Lobster Bisque (1 cup),Meal/Seafood,250,8.0,12.0
Reuben Sandwich,Meal/Processed,650,28.0,35.0
Sauerkraut (1/4 cup side),Vegetable,7,0.3,1.5
Mushroom (White 1 cup sliced),Vegetable,15,2.2,2.3
Soy Milk (Original 1 cup),Beverage/Dairy-Alt,110,8.0,9.0
Chicken Tikka Masala (1.5 cups),Meal/Meat,480,30.0,20.0
Naan Bread (1 piece),Grain,260,8.0,45.0
Cucumber Salad (1/2 cup),Vegetable,40,1.0,5.0
Vodka Soda (1 drink),Beverage,100,0.0,0.0
Chocolate Croissant,Dessert,350,6.0,40.0
Sweet & Sour Chicken (1 cup),Meal/Processed,380,18.0,45.0
Egg Drop Soup (1 cup),Meal/Vegetable,65,5.0,6.0
String Cheese (1 stick),Dairy,80,6.0,1.0
Turkey Burger (1 patty),Protein/Meat,160,22.0,2.0
Potato Salad (1/2 cup),Meal/Vegetable,180,2.0,19.0
Cranberry Juice (1 cup),Beverage,130,0.0,33.0
Chicken Piccata (1 serving),Meal/Meat,350,30.0,10.0
Angel Hair Pasta (1 cup),Grain,200,7.0,42.0
Olive Oil (1 tbsp),Condiment,120,0.0,0.0
Garlic (1 clove),Vegetable,4,0.2,0.9
Salami (3 slices),Protein/Processed,110,6.0,1.0
Provolone Cheese (1 slice),Dairy,100,7.0,1.0
Ginger Ale (1 can),Beverage,124,0.0,32.0
Shrimp Scampi (1 cup),Meal/Seafood,380,22.0,40.0
Tiramisu (1 slice),Dessert,450,7.0,42.0
Cereal Bar (Fruit),Snack/Processed,140,2.0,30.0
Veal Parmesan (1 serving),Meal/Meat,550,40.0,30.0
Spaghetti (side),Grain,100,3.5,21.0
Hot Chocolate (1 cup),Beverage,200,3.0,30.0
Coconut Shrimp (5 pcs),Meal/Seafood,320,10.0,25.0
Sweet Chili Sauce (2 tbsp),Condiment,70,0.0,17.0
White Wine (5 oz glass),Beverage,121,0.1,3.8
Trail Mix (1/4 cup),Snack/Processed,190,5.0,20.0
Onion Rings (6 rings),Snack/Processed,280,4.0,30.0
Poached Egg (1 large),Protein,72,6.3,0.4
Canadian Bacon (2 slices),Protein/Meat,80,12.0,1.0
Eggs Benedict (1 serving),Meal/Protein,600,25.0,30.0
Hollandaise Sauce (2 tbsp),Condiment,110,1.0,0.5
Spinach Artichoke Dip (1/4 cup),Snack/Processed,160,5.0,6.0
Tortilla Chips (1 oz),Snack/Processed,140,2.0,19.0
Chicken Kebab (2 skewers),Meal/Meat,280,30.0,8.0
Bell Peppers & Onions (sautéed),Vegetable,60,1.5,10.0
Hummus Wrap (large),Meal/Vegetarian,450,15.0,60.0
Kombucha (1 cup),Beverage,30,0.0,7.0
Beef Stroganoff (1.5 cups),Meal/Pasta,550,30.0,40.0
Egg Noodles (1 cup cooked),Grain,220,8.0,40.0
Cottage Cheese (1 cup low fat),Dairy,160,28.0,6.0
Tomato (1 medium sliced),Vegetable,22,1.1,4.8
Black Pepper (1 tsp),Condiment,6,0.2,1.5
Chocolate Pudding (1/2 cup),Dessert,150,2.0,28.0
Mackerel (3oz cooked),Protein/Fish,175,16.0,0.0
Collard Greens (1 cup cooked),Vegetable,60,5.0,10.0
Ham (3oz deli sliced),Protein/Meat,110,16.0,2.0
Swiss Cheese (1 slice),Dairy,106,7.6,1.0
Rye Bread (1 slice),Grain,83,2.7,15.5
Potato Leek Soup (1 cup),Meal/Vegetable,180,4.0,25.0
Brie Cheese (1 oz),Dairy,95,6.0,0.1
Water Cracker (5 crackers),Grain/Processed,70,1.5,12.0
Grapefruit (1/2 medium),Fruit,52,1.1,13.2
Veggie Straws (1 oz),Snack/Processed,130,1.0,17.0
Fish Tacos (2 tacos),Meal/Fish,420,25.0,40.0
Cabbage Slaw (side),Vegetable,60,1.0,8.0
Lime (juice of 1),Condiment,11,0.2,3.7
Beer (12 oz light),Beverage,103,0.9,5.8
Danish (Cheese 1 medium),Dessert,340,7.0,38.0
Kefir (Plain 1 cup),Beverage/Dairy,104,10.0,10.0
Gnocchi (1 cup),Meal/Pasta,210,4.5,45.0
Pesto Sauce (1/4 cup),Condiment,260,5.0,4.0
Pine Nuts (1 tbsp),Nut,95,2.0,2.0
Chai Latte (12 oz),Beverage,190,7.0,32.0
Manicotti (2 shells cheese),Meal/Pasta,380,20.0,35.0
Italian Sausage (1 link),Protein/Meat,200,12.0,3.0
Jicama (1 cup sticks),Vegetable,46,0.9,10.6
Chili Powder (1 tsp),Condiment,8,0.3,1.4
Ants on a Log (4 pcs),Snack,180,6.0,12.0
Split Pea Soup (1 cup),Meal/Legume,180,11.0,30.0
Ham & Cheese Croissant,Meal/Processed,400,15.0,35.0
Espresso (double shot),Beverage,5,0.5,0.0
Ricotta Cheese (1/4 cup),Dairy,85,5.5,2.5
Chicken & Rice Soup (1 can),Meal/Processed,130,7.0,18.0
Guava,Fruit,68,2.6,14.3
Club Sandwich,Meal/Processed,580,35.0,40.0
Pickle (1 whole dill),Vegetable,17,0.8,3.7
Turkey Chili (1 cup),Meal/Meat,250,22.0,25.0
Sour Cream (2 tbsp),Condiment/Dairy,60,0.8,1.3
Shredded Cheese (Cheddar 1/4 cup),Dairy,115,7.0,1.0
Matcha Latte (12 oz),Beverage,180,6.0,28.0
Chocolate Donut (1 medium),Dessert,300,4.0,35.0
Tuna Melt,Meal/Processed,450,25.0,32.0
Apple Cider (1 cup),Beverage,117,0.1,29.0
Beef Burrito (large),Meal/Processed,650,30.0,70.0
Pico de Gallo (1/4 cup),Condiment,15,0.5,3.0
Corn Tortilla (1 medium),Grain,52,1.4,11.2
Mussels (3oz steamed),Protein/Seafood,146,20.0,6.0
White Wine Sauce (1/4 cup),Condiment,80,1.0,4.0
French Bread (2 slices),Grain,180,6.0,36.0
Blackberries (1 cup),Fruit,62,2.0,13.8
Cheese Danish,Dessert,340,7.0,38.0
Chicken Salad Sandwich,Meal/Processed,420,20.0,35.0
Soyrizo (2 oz),Protein/Vegetarian,140,10.0,6.0
Hash Browns (1 cup),Vegetable,330,3.0,38.0
Ketchup (1 packet),Condiment,10,0.1,2.5
Philly Cheesesteak (6 inch),Meal/Processed,500,25.0,40.0
Cheese Whiz (2 tbsp),Condiment/Processed,90,4.0,3.0
Onions (sautéed 1/4 cup),Vegetable,30,0.5,5.0
Raspberries (1 cup),Fruit,64,1.5,14.7
Cheesy Grits (1 cup),Meal/Grain,210,6.0,34.0
Collard Greens (with ham hock),Vegetable,180,10.0,15.0
Fried Okra (1 cup),Vegetable,220,4.0,25.0
Sweet Tea (16 oz),Beverage,180,0.0,46.0
Gyro (1 sandwich),Meal/Meat,600,25.0,55.0
Pita Bread (White 1 large),Grain,220,7.0,45.0
Baklava (1 piece),Dessert,280,3.0,30.0
Coconut (shredded 1/4 cup),Fruit,110,1.0,4.5
S'more (1 serving),Dessert,140,2.0,25.0
Graham Cracker (1 large rectangle),Grain/Processed,60,1.0,11.0
Marshmallow (1 large),Dessert,23,0.1,5.8
Chocolate (Hershey's bar 1 segment),Dessert,25,0.3,3.0
Chicken Parm Sandwich,Meal/Processed,650,40.0,55.0
Mozzarella (1 slice),Dairy,80,6.0,1.0
Bread Roll (hoagie),Grain,200,6.0,38.0
Artichoke (1 medium steamed),Vegetable,60,4.2,13.4
Mayonnaise (1 tbsp for dipping),Condiment,90,0.1,0.1
Calamari (fried 3oz),Meal/Seafood,150,13.0,8.0
Lemon Wedge (for calamari),Condiment,3,0.1,1.0
Root Beer (1 can),Beverage,150,0.0,40.0
Chicken McNuggets (6 pcs),Meal/Processed,270,15.0,16.0
BBQ Sauce (2 tbsp),Condiment,60,0.5,15.0
Honey (1 tbsp),Condiment,64,0.1,17.3
Tofu Scramble,Meal/Vegetarian,250,20.0,8.0
Turmeric (1 tsp),Condiment,9,0.3,1.9
Nutritional Yeast (1 tbsp),Condiment,20,3.0,2.0
Seitan (3oz),Protein/Vegetarian,90,18.0,4.0
Vegetable Broth (1 cup),Beverage,15,1.0,3.0
Mashed Cauliflower (1 cup),Vegetable,140,5.0,12.0
Peanut Sauce (2 tbsp),Condiment,80,2.0,4.0
Tempeh (3oz),Protein/Vegetarian,160,16.0,8.0
Sauerkraut (1/2 cup),Vegetable,14,0.7,3.1
Rye Crispbread (2 slices),Grain,70,2.0,14.0
Capers (1 tbsp),Condiment,2,0.2,0.4
Chicken Liver (2 oz cooked),Protein/Meat,91,13.6,0.6
Onion (1/2 cup raw chopped),Vegetable,32,0.9,7.5
Bok Choy (1 cup steamed),Vegetable,10,1.5,2.0
Gummy Bears (10 pcs),Snack/Dessert,100,2.0,22.0
Whiskey (1.5 oz shot),Beverage,105,0.0,0.1
Dates (2 medium Medjool),Fruit,133,0.8,36.0
Tahini (1 tbsp),Condiment,89,2.6,3.2
Chickpeas (1/2 cup canned),Legume,135,7.0,22.0
Lettuce (Romaine 2 cups),Vegetable,16,1.0,3.0
Italian Dressing (2 tbsp),Condiment,70,0.0,3.0
Turkey Sausage (1 patty),Protein/Meat,70,9.0,1.0
Maple Syrup (1 tbsp),Condiment,52,0.0,13.5
Quesadilla (Cheese 1 medium),Meal/Processed,400,18.0,35.0
Sour Cream (1 tbsp),Condiment/Dairy,30,0.4,0.6
Salsa (2 tbsp),Condiment,10,0.5,2.0
Red Cabbage (1 cup raw),Vegetable,22,1.1,5.2
Duck (3oz roasted),Protein/Meat,285,16.0,0.0
Orange Sauce (1/4 cup for duck),Condiment,90,0.5,22.0
Wild Rice (1 cup cooked),Grain,166,6.5,35.0
Cupcake (Vanilla 1 medium),Dessert,240,2.0,35.0
Frosting (Vanilla 2 tbsp),Condiment,140,0.0,22.0
Bison Burger (1 patty),Protein/Meat,150,22.0,0.0
Pretzel Bun (1 medium),Grain,230,8.0,45.0
Spicy Mustard (1 tbsp),Condiment,10,0.5,1.0
Pasta Salad (1 cup),Meal/Pasta,280,8.0,30.0
Pepperoncini (2 peppers),Vegetable,10,0.5,2.0
Coconut Milk (1/4 cup canned),Condiment,111,1.1,2.9
Green Curry Paste (1 tbsp),Condiment,30,0.5,2.0
Chicken Thigh (1 roasted),Protein/Meat,210,24.0,0.0
Jasmine Rice (1 cup cooked),Grain,205,4.3,45.0
Thai Iced Tea (1 glass),Beverage,250,3.0,35.0
Papaya (1 cup cubes),Fruit,62,0.6,15.7
Lime Juice (1 tbsp),Condiment,4,0.1,1.3
Macaroni Salad (1 cup),Meal/Pasta,380,8.0,30.0
Celery (1 stalk),Vegetable,6,0.3,1.2
Blue Cheese (1 oz),Dairy,100,6.0,0.7
Dark Chocolate (1 oz 70%),Dessert,170,2.2,13.0
Acai Bowl (1 serving),Meal/Fruit,350,5.0,60.0
Granola (1/4 cup topping),Grain,120,3.0,15.0
Coconut Flakes (1 tbsp topping),Fruit,35,0.3,1.5
Honey (1 tsp drizzle),Condiment,21,0.0,5.8
Shrimp Cocktail (4 large shrimp),Protein/Seafood,60,10.0,1.0
Cocktail Sauce (2 tbsp),Condiment,30,0.5,7.0
Pork Bun (1 steamed),Meal/Processed,220,8.0,30.0
Dim Sum (Siu Mai 3 pcs),Meal/Processed,180,12.0,10.0
Soy Sauce (1 tbsp for dipping),Condiment,9,1.0,1.0
Oyster (1 medium raw),Protein/Seafood,8,1.0,0.5
Mignonette Sauce (1 tbsp),Condiment,5,0.0,1.0
Beef Pho (1 large bowl),Meal/Soup,450,30.0,55.0
Bean Sprouts (1/4 cup garnish),Vegetable,8,0.8,1.5
Thai Basil (garnish),Condiment,1,0.1,0.0
Lime Wedge (garnish),Condiment,3,0.1,1.0
Jalapeno (1 tbsp sliced),Vegetable,4,0.1,0.8
Hoisin Sauce (1 tbsp),Condiment,35,0.3,8.0
Sriracha (1 tsp),Condiment,5,0.1,1.0
Crepe (1 plain),Grain,90,3.5,14.0
Nutella (1 tbsp),Condiment,100,1.5,11.0
Powdered Sugar (1 tsp),Condiment,10,0.0,2.5
Sake (3 oz),Beverage,117,0.4,3.8
Edamame (in pod 1 cup),Legume,120,11.0,9.0
Biryani (Chicken 1.5 cups),Meal/Meat,520,28.0,60.0
Raita (2 tbsp),Condiment/Dairy,30,1.0,2.0
Lassi (Mango 1 cup),Beverage,180,5.0,30.0
Samosa (1 piece vegetable),Snack/Processed,130,2.0,18.0
Tamarind Chutney (1 tbsp),Condiment,20,0.1,5.0
Mint Chutney (1 tbsp),Condiment,5,0.2,0.5
Pani Puri (6 pcs),Snack/Processed,200,4.0,35.0
Passion Fruit (1 fruit),Fruit,17,0.4,4.2
Kimchi Jjigae (1 bowl),Meal/Soup,350,15.0,20.0
Silken Tofu (3oz in soup),Protein/Vegetarian,45,5.0,2.0
Pork Belly (1 oz in soup),Protein/Meat,145,3.0,0.0
Gochugaru (1 tsp),Condiment,10,0.3,1.8
Gochujang (1 tbsp),Condiment,30,0.5,6.0
Sesame Oil (1 tsp),Condiment,40,0.0,0.0
Fish Sauce (1 tsp),Condiment,5,0.4,0.5
Green Onion (1 tbsp garnish),Vegetable,3,0.2,0.7
Kombucha (16 oz),Beverage,60,0.0,14.0
Beef Wellington (1 slice),Meal/Meat,600,30.0,35.0
Pate (Mushroom 2 tbsp),Condiment,70,1.0,2.0
Puff Pastry (1 oz wrapper),Grain,115,1.5,9.0
Prosciutto (1 slice),Protein/Meat,35,4.0,0.0
Asparagus (6 spears roasted),Vegetable,40,4.0,4.0
Hollandaise Sauce (1 tbsp),Condiment,55,0.5,0.2
Flan (1 slice),Dessert,220,6.0,35.0
Caramel Sauce (1 tbsp),Condiment,60,0.0,13.0
Congee (1 cup plain),Meal/Grain,130,2.5,28.0
Pickled Radish (1/4 cup),Vegetable,15,0.5,3.0
Pork Floss (1 tbsp),Protein/Meat,50,4.0,3.0
Century Egg (1 egg),Protein,100,7.0,1.0
Arugula (2 cups),Vegetable,10,1.0,0.8
Goat Cheese (1 oz),Dairy,103,6.1,0.1
Beets (1/2 cup roasted),Vegetable,30,0.8,6.8
Walnuts (1 tbsp chopped),Nut,46,1.1,1.0
Balsamic Glaze (1 tbsp),Condiment,40,0.0,9.0
Bobotie (1 serving),Meal/Meat,450,25.0,30.0
Yellow Rice (1 cup),Grain,230,4.0,50.0
Chutney (Mango 1 tbsp),Condiment,45,0.1,11.0
Malva Pudding (1 slice),Dessert,380,5.0,60.0
Custard (1/4 cup),Condiment,80,3.0,10.0
Bubble Tea (16 oz milk tea),Beverage,320,2.0,70.0
Tapioca Pearls (1/4 cup boba),Condiment,100,0.0,25.0
Paella (1.5 cups seafood),Meal/Rice,550,30.0,70.0
Chorizo (1 oz in paella),Protein/Meat,130,6.0,1.0
Saffron (pinch),Condiment,1,0.0,0.1
Aioli (Garlic 1 tbsp),Condiment,95,0.1,0.5
Gazpacho (1 cup),Meal/Soup,90,2.0,12.0
Croutons (Garlic 1/4 cup),Grain,50,1.5,7.0
Olive Oil (1 tsp garnish),Condiment,40,0.0,0.0
Churros (2 sticks),Dessert,240,3.0,30.0
Chocolate Sauce (1 tbsp dipping),Condiment,50,0.5,10.0
Cinnamon Sugar (1 tsp),Condiment,20,0.0,5.0
Horchata (1 cup),Beverage,140,2.0,25.0
Ceviche (1 cup fish),Meal/Fish,180,25.0,15.0
Red Onion (1/4 cup in ceviche),Vegetable,16,0.3,3.7
Cilantro (2 tbsp garnish),Condiment,1,0.1,0.0
Corn Nuts (1 oz),Snack/Processed,130,2.0,23.0
Lomo Saltado (1.5 cups),Meal/Meat,500,35.0,45.0
French Fries (as side),Vegetable/Processed,200,2.0,25.0
Soy Sauce (1 tbsp in stir-fry),Condiment,9,1.0,1.0
Aji Amarillo Paste (1 tsp),Condiment,5,0.1,1.0
Pisco Sour (1 drink),Beverage,250,1.0,25.0
Egg White (in drink),Condiment,17,3.6,0.2
Angostura Bitters (dash),Condiment,5,0.0,0.0
Alfajores (1 cookie),Dessert,180,2.0,22.0
Dulce de Leche (1 tbsp filling),Condiment,65,1.0,12.0
Coconut (shredded garnish),Fruit,10,0.1,0.5
Mate (1 cup),Beverage,5,0.2,1.0
Media Luna (1 pastry),Grain,190,4.0,25.0
Chimichurri (1 tbsp),Condiment,45,0.1,0.5
Skirt Steak (4oz grilled),Protein/Meat,240,26.0,0.0
Provoleta (1 oz grilled cheese),Dairy,100,7.0,1.0
Oregano (1 tsp),Condiment,3,0.1,0.7
Empanada (Beef 1 medium),Meal/Processed,290,10.0,28.0
Chicken Milanesa (1 serving),Meal/Meat,450,35.0,30.0
Mashed Potatoes (side),Vegetable,150,3.0,25.0
Choripan (1 sandwich),Meal/Processed,550,20.0,40.0
Baguette (slice),Grain,70,2.5,14.0
Pizza (Margherita 1 slice),Meal/Processed,250,12.0,30.0
Fresh Mozzarella (1 oz),Dairy,72,5.0,0.8
Basil (2 tbsp fresh),Condiment,1,0.1,0.1
Carbonara (1.5 cups),Meal/Pasta,650,25.0,60.0
Guanciale (1 oz),Protein/Meat,170,3.0,0.0
Pecorino Cheese (1 tbsp),Dairy,25,1.5,0.1
Black Pepper (1/4 tsp),Condiment,1,0.0,0.2
Egg Yolk (1 large in sauce),Protein,55,2.7,0.6
Supplì (1 piece fried rice ball),Snack/Processed,200,8.0,25.0
Aperol Spritz (1 drink),Beverage,180,0.0,20.0
Prosecco (3 oz),Beverage,70,0.0,2.0
Orange Slice (garnish),Fruit,5,0.1,1.0
Tagliatelle al Ragù (Bolognese),Meal/Pasta,550,28.0,65.0
Ground Beef (2 oz in sauce),Protein/Meat,140,11.0,0.0
Pancetta (0.5 oz in sauce),Protein/Meat,45,1.5,0.0
Carrot (1/4 minced in sauce),Vegetable,10,0.2,2.4
Celery (1/4 stalk minced),Vegetable,2,0.1,0.4
Onion (1/8 minced in sauce),Vegetable,5,0.1,1.2
Crushed Tomatoes (1/2 cup sauce),Vegetable,20,1.0,4.0
Parmigiano-Reggiano (1 tbsp),Dairy,22,2.0,0.2
Cannoli (1 medium),Dessert,240,5.0,25.0
